Timestamp,IP,Requests Send,Requests Recieved,Responses Send,Responses Recieved
2021-12-02 14:55:10.209423,127.0.0.13,2,2,0,2
2021-12-02 14:55:40.256590,127.0.0.13,2,2,0,2
2021-12-02 14:56:10.303354,127.0.0.13,2,2,0,2
2021-12-02 14:56:40.345993,127.0.0.13,2,2,0,2
2021-12-02 14:57:10.396054,127.0.0.13,2,2,0,2
2021-12-02 14:57:40.454741,127.0.0.13,2,2,0,2
2021-12-02 14:58:10.516019,127.0.0.13,2,2,0,2
2021-12-02 14:58:40.567621,127.0.0.13,2,2,0,2
2021-12-02 14:59:10.645575,127.0.0.13,2,2,0,2
2021-12-02 14:59:40.680194,127.0.0.13,2,2,0,2
2021-12-02 15:00:10.723144,127.0.0.13,2,2,0,2
2021-12-02 15:00:40.774765,127.0.0.13,2,2,0,2
2021-12-02 15:01:10.823252,127.0.0.13,2,2,0,2
2021-12-02 15:01:40.868202,127.0.0.13,2,2,0,2
2021-12-02 15:02:10.930914,127.0.0.13,2,2,0,2
2021-12-02 15:02:40.999120,127.0.0.13,2,2,0,2
2021-12-02 15:03:11.060487,127.0.0.13,2,2,0,2
2021-12-02 15:03:41.100603,127.0.0.13,2,2,0,2
2021-12-02 15:04:11.147537,127.0.0.13,2,2,0,2
2021-12-02 15:04:41.193909,127.0.0.13,2,2,0,2
2021-12-02 15:05:11.244735,127.0.0.13,2,2,0,2
2021-12-02 15:05:41.299388,127.0.0.13,2,2,0,2
2021-12-02 15:06:11.377813,127.0.0.13,2,2,0,2
2021-12-02 15:06:41.433442,127.0.0.13,2,2,0,2
2021-12-02 15:07:11.516739,127.0.0.13,2,2,0,2
2021-12-02 15:07:41.612654,127.0.0.13,2,2,0,2
2021-12-02 15:08:11.691036,127.0.0.13,2,2,0,2
2021-12-02 15:08:41.779289,127.0.0.13,2,2,0,2
2021-12-02 15:09:11.846248,127.0.0.13,2,2,0,2
2021-12-02 15:09:41.959772,127.0.0.13,2,2,0,2
2021-12-02 15:10:12.045833,127.0.0.13,2,2,0,2
2021-12-02 15:10:42.134371,127.0.0.13,2,2,0,2
2021-12-02 15:11:12.224616,127.0.0.13,2,2,0,2
2021-12-02 15:11:42.312721,127.0.0.13,2,2,0,2
2021-12-02 15:12:12.389711,127.0.0.13,2,2,0,2
2021-12-02 15:12:42.465521,127.0.0.13,2,2,0,2
2021-12-02 15:13:12.574306,127.0.0.13,2,2,0,2
2021-12-02 15:13:42.689192,127.0.0.13,2,2,0,2
2021-12-02 15:14:12.793558,127.0.0.13,2,2,0,2
2021-12-02 15:14:42.851358,127.0.0.13,2,2,0,2
2021-12-02 15:15:12.958278,127.0.0.13,2,2,0,2
2021-12-02 15:15:43.021318,127.0.0.13,2,2,0,2
2021-12-02 15:16:13.118689,127.0.0.13,2,2,0,2
2021-12-02 15:16:43.216838,127.0.0.13,2,2,0,2
2021-12-02 15:17:13.292278,127.0.0.13,2,2,0,2
2021-12-02 15:17:43.397676,127.0.0.13,2,2,0,2
2021-12-02 15:18:13.475687,127.0.0.13,2,2,0,2
2021-12-02 15:18:43.555090,127.0.0.13,2,2,0,2
2021-12-02 15:19:13.656248,127.0.0.13,2,2,0,2
2021-12-02 15:19:43.769615,127.0.0.13,2,2,0,2
2021-12-02 15:20:13.818809,127.0.0.13,2,2,0,2
2021-12-02 15:20:43.846902,127.0.0.13,2,2,0,2
2021-12-02 15:21:13.874687,127.0.0.13,2,2,0,2
2021-12-02 15:21:43.944474,127.0.0.13,2,2,0,2
2021-12-02 15:22:13.986669,127.0.0.13,2,2,0,2
2021-12-02 15:22:44.067546,127.0.0.13,2,2,0,2
2021-12-02 15:23:14.172022,127.0.0.13,2,2,0,2
2021-12-02 15:23:44.202972,127.0.0.13,2,2,0,2
2021-12-02 15:24:14.283764,127.0.0.13,2,2,0,2
2021-12-02 15:24:44.379282,127.0.0.13,2,2,0,2
2021-12-02 15:25:14.485192,127.0.0.13,2,2,0,2
2021-12-02 15:25:44.586415,127.0.0.13,2,2,0,2
2021-12-02 15:26:14.694553,127.0.0.13,2,2,0,2
